ticker,date,signal,close,markout_1d,markout_2d,markout_3d,markout_5d,markout_10d,markout_21d
APP,2023-11-27,BUY,39.39,-2.5133,-0.9139,-4.8489,-5.1282,-6.7276,3.1988
APP,2023-12-22,BUY,41.21,-1.9655,-1.3589,-1.092,-5.8966,-5.0231,6.9401
APP,2025-08-07,BUY,437.34,4.2621,6.4572,6.7819,-0.9146,-4.2484,25.0835
APP,2026-01-23,SELL,524.41,-2.1033,-3.6517,-3.4229,9.7824,22.4424,25.0167
GOOGL,2023-02-01,BUY,100.43,7.2787,4.3314,2.4594,-1.0555,-3.4751,-6.751
GOOGL,2023-03-27,BUY,102.46,-1.3957,-1.0443,-1.5323,1.8544,2.8206,1.22
GOOGL,2023-07-19,SELL,122.03,2.3191,1.6471,0.4097,-5.933,-5.2036,-6.4656
GOOGL,2023-11-01,SELL,126.45,-0.8225,-2.0957,-3.0051,-4.2626,-6.4611,-4.2784
GOOGL,2025-05-19,BUY,166.54,-1.5372,1.2129,2.6,3.8189,-0.2162,4.0711
BAX,2024-07-19,BUY,35.35,0.0283,-0.2263,0.396,0.4526,-0.2263,3.14
BAX,2024-10-15,SELL,36.65,-0.3001,0.0,-0.573,0.1637,1.8008,10.9686
BAX,2025-06-30,SELL,30.28,-3.1374,-2.8071,-2.4108,-1.255,6.7041,7.3646
CVNA,2024-02-22,BUY,52.41,32.0931,33.3333,53.444,44.8769,51.6314,63.9763
DASH,2023-02-01,BUY,58.91,8.3178,0.2207,1.3071,5.8903,15.7359,-2.6651
DASH,2023-11-13,BUY,89.77,4.3667,6.0042,5.9263,6.6615,5.2022,11.8748
DASH,2025-03-25,SELL,199.72,3.4298,2.854,8.567,8.6621,17.0088,6.2588
ISRG,2023-04-04,BUY,254.71,1.2877,0.8598,1.6607,2.7718,17.2196,19.0413
AMZN,2023-11-13,BUY,142.59,2.2512,0.4278,0.1683,2.4826,3.1138,4.3832
AMZN,2025-11-06,BUY,243.04,0.5637,2.2054,2.4934,-2.2465,-10.6567,-6.645
AMZN,2026-01-14,BUY,236.65,0.6465,1.0437,-2.3875,-0.9761,2.1466,-15.9983
TSLA,2023-09-20,BUY,262.59,-2.6239,-6.7444,-5.9408,-8.4124,-0.5446,-16.1773
TSLA,2023-12-07,BUY,242.64,0.4946,-1.1952,-2.3203,3.466,4.8879,-3.1652
