ticker,date,cross_type,entry_price,exit_price,hold_days,price_change_pct,crossover_correct,rule_signal,rule_correct,atv_confirmed,rsi_gate,hybrid_signal,hybrid_correct,confidence,rl_agrees
AAPL,2021-06-28,golden_cross,131.5,138.56,5,5.37,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2021-06-28,golden_cross,131.5,142.09,10,8.06,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2021-06-28,golden_cross,131.5,143.2,20,8.9,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2021-10-01,death_cross,139.38,139.63,5,0.18,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2021-10-01,death_cross,139.38,141.52,10,1.54,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2021-10-01,death_cross,139.38,146.37,20,5.01,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2021-11-04,golden_cross,147.5,144.7,5,-1.9,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2021-11-04,golden_cross,147.5,154.48,10,4.73,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2021-11-04,golden_cross,147.5,158.37,20,7.36,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-01-31,death_cross,171.03,168.19,5,-1.66,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-01-31,death_cross,171.03,165.47,10,-3.25,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-01-31,death_cross,171.03,159.9,20,-6.51,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-04-05,golden_cross,171.52,164.27,5,-4.23,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-04-05,golden_cross,171.52,163.85,10,-4.47,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-04-05,golden_cross,171.52,162.66,20,-5.16,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-05-03,death_cross,156.26,151.61,5,-2.97,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-05-03,death_cross,156.26,146.44,10,-6.28,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-05-03,death_cross,156.26,145.92,20,-6.62,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-07-20,golden_cross,150.17,153.85,5,2.45,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-07-20,golden_cross,150.17,163.01,10,8.55,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-07-20,golden_cross,150.17,171.51,20,14.21,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-09-19,death_cross,151.79,148.14,5,-2.4,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-09-19,death_cross,151.79,139.97,10,-7.79,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-09-19,death_cross,151.79,139.93,20,-7.81,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-11-21,golden_cross,145.67,138.94,5,-4.62,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-11-21,golden_cross,145.67,140.65,10,-3.45,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-11-21,golden_cross,145.67,130.21,20,-10.61,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-11-29,death_cross,138.94,140.65,5,1.23,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-11-29,death_cross,138.94,143.17,10,3.05,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-11-29,death_cross,138.94,124.05,20,-10.72,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-12-01,golden_cross,145.97,140.4,5,-3.82,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-12-01,golden_cross,145.97,134.35,10,-7.96,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-12-01,golden_cross,145.97,127.88,20,-12.39,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2022-12-19,death_cross,130.28,127.98,5,-1.77,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-12-19,death_cross,130.28,124.37,10,-4.54,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2022-12-19,death_cross,130.28,133.14,20,2.19,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2023-02-03,golden_cross,152.06,148.85,5,-2.11,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2023-02-03,golden_cross,152.06,150.37,10,-1.11,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2023-02-03,golden_cross,152.06,151.63,20,-0.28,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2023-08-16,death_cross,174.52,179.02,5,2.58,False,HOLD,,True,blocked_oversold,HOLD,,55,False
AAPL,2023-08-16,death_cross,174.52,185.48,10,6.28,False,HOLD,,True,blocked_oversold,HOLD,,55,False
AAPL,2023-08-16,death_cross,174.52,173.7,20,-0.47,True,HOLD,,True,blocked_oversold,HOLD,,55,False
AAPL,2023-11-14,golden_cross,185.51,188.68,5,1.71,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2023-11-14,golden_cross,185.51,187.42,10,1.03,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2023-11-14,golden_cross,185.51,195.92,20,5.61,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2024-01-17,death_cross,180.8,192.5,5,6.47,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-01-17,death_cross,180.8,182.5,10,0.94,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-01-17,death_cross,180.8,182.49,20,0.93,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-05-08,golden_cross,181.09,188.26,5,3.96,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2024-05-08,golden_cross,181.09,189.43,10,4.61,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2024-05-08,golden_cross,181.09,192.99,20,6.57,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2024-08-20,death_cross,225.03,226.54,5,0.67,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-08-20,death_cross,225.03,219.41,10,-2.5,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-08-20,death_cross,225.03,219.25,20,-2.57,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-08-27,golden_cross,226.54,219.41,5,-3.15,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-08-27,golden_cross,226.54,221.21,10,-2.35,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-08-27,golden_cross,226.54,224.89,20,-0.73,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2024-11-19,death_cross,227.04,233.78,5,2.97,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2024-11-19,death_cross,227.04,241.69,10,6.45,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2024-11-19,death_cross,227.04,246.7,20,8.66,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2024-12-03,golden_cross,241.33,246.42,5,2.11,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2024-12-03,golden_cross,241.33,252.1,10,4.46,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2024-12-03,golden_cross,241.33,242.53,20,0.49,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2025-01-27,death_cross,228.61,226.77,5,-0.8,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2025-01-27,death_cross,228.61,226.66,10,-0.85,True,SELL,True,True,passed,SELL,True,60,False
AAPL,2025-01-27,death_cross,228.61,245.97,20,7.59,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2025-03-06,golden_cross,234.31,208.77,5,-10.9,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2025-03-06,golden_cross,234.31,213.17,10,-9.02,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2025-03-06,golden_cross,234.31,202.31,20,-13.66,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2025-03-17,death_cross,213.07,219.77,5,3.14,False,HOLD,,True,blocked_oversold,HOLD,,55,False
AAPL,2025-03-17,death_cross,213.07,221.17,10,3.8,False,HOLD,,True,blocked_oversold,HOLD,,55,False
AAPL,2025-03-17,death_cross,213.07,201.64,20,-5.36,True,HOLD,,True,blocked_oversold,HOLD,,55,False
AAPL,2025-06-05,golden_cross,200.02,198.6,5,-0.71,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2025-06-05,golden_cross,200.02,200.39,10,0.18,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2025-06-05,golden_cross,200.02,209.31,20,4.65,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2025-06-17,death_cross,195.05,200.95,5,3.03,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2025-06-17,death_cross,195.05,211.8,10,8.59,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2025-06-17,death_cross,195.05,209.38,20,7.35,False,SELL,False,True,passed,SELL,False,60,False
AAPL,2025-07-11,golden_cross,210.52,210.54,5,0.01,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2025-07-11,golden_cross,210.52,213.23,10,1.29,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2025-07-11,golden_cross,210.52,228.65,20,8.61,True,HOLD,,True,blocked_overbought,HOLD,,55,False
AAPL,2026-01-07,death_cross,260.09,259.72,5,-0.14,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2026-01-07,death_cross,260.09,248.12,10,-4.6,True,HOLD,,False,n/a,HOLD,,55,False
AAPL,2026-01-07,death_cross,260.09,275.65,20,5.98,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2026-02-23,golden_cross,266.18,264.72,5,-0.55,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2026-02-23,golden_cross,266.18,259.88,10,-2.37,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2026-02-23,golden_cross,266.18,251.49,20,-5.52,False,HOLD,,False,n/a,HOLD,,55,False
