ticker,strategy,n_trades,accuracy,avg_pnl,sharpe,sortino,profitable,total_return
AAPL,Rule,0,,,,,,
AAPL,Rule-gated,0,,,,,,
AAPL,Hybrid,4,50.0,7.36,1.22,1.25,2.0,27.97
AAPL,RL-only,6,50.0,4.6,1.13,1.15,3.0,25.25
MSFT,Rule,0,,,,,,
MSFT,Rule-gated,0,,,,,,
MSFT,Hybrid,1,100.0,12.15,0.81,0.76,1.0,17.5
MSFT,RL-only,1,100.0,12.15,0.81,0.76,1.0,17.5
GOOGL,Rule,0,,,,,,
GOOGL,Rule-gated,0,,,,,,
GOOGL,Hybrid,0,,,,,,
GOOGL,RL-only,0,,,,,,
NVDA,Rule,1,100.0,3.91,1.32,0.0,1.0,3.91
NVDA,Rule-gated,1,100.0,3.91,1.32,0.0,1.0,3.91
NVDA,Hybrid,4,100.0,14.75,1.75,1.77,4.0,72.49
NVDA,RL-only,0,,,,,,
JPM,Rule,0,,,,,,
JPM,Rule-gated,0,,,,,,
JPM,Hybrid,8,75.0,3.75,1.57,1.36,6.0,33.19
JPM,RL-only,7,85.71,4.87,1.78,1.54,6.0,38.72
JNJ,Rule,0,,,,,,
JNJ,Rule-gated,0,,,,,,
JNJ,Hybrid,4,100.0,9.57,2.33,2.6,4.0,42.91
JNJ,RL-only,4,100.0,9.57,2.33,2.6,4.0,42.91
XOM,Rule,0,,,,,,
XOM,Rule-gated,0,,,,,,
XOM,Hybrid,2,50.0,0.4,1.79,1.71,1.0,46.26
XOM,RL-only,0,,,,,,
PG,Rule,0,,,,,,
PG,Rule-gated,0,,,,,,
PG,Hybrid,10,20.0,-2.15,-1.32,-1.13,2.0,-20.46
PG,RL-only,11,27.27,-1.75,-1.18,-1.01,3.0,-18.62
KO,Rule,1,0.0,-1.07,0.72,0.54,0.0,7.72
KO,Rule-gated,1,0.0,-1.07,0.72,0.54,0.0,7.72
KO,Hybrid,3,33.33,2.66,0.25,0.26,1.0,2.68
KO,RL-only,6,33.33,0.86,0.27,0.28,2.0,2.89
WMT,Rule,0,,,,,,
WMT,Rule-gated,0,,,,,,
WMT,Hybrid,3,100.0,11.85,1.45,1.58,3.0,33.24
WMT,RL-only,2,100.0,18.41,1.49,1.62,2.0,34.27
INTC,Rule,0,,,,,,
INTC,Rule-gated,0,,,,,,
INTC,Hybrid,11,45.45,1.39,1.09,0.68,5.0,43.07
INTC,RL-only,12,50.0,2.36,1.02,0.64,6.0,38.74
PFE,Rule,0,,,,,,
PFE,Rule-gated,0,,,,,,
PFE,Hybrid,1,100.0,5.24,0.74,0.2,1.0,5.24
PFE,RL-only,2,100.0,2.81,0.79,0.22,2.0,5.63
BA,Rule,0,,,,,,
BA,Rule-gated,0,,,,,,
BA,Hybrid,0,,,,,,
BA,RL-only,0,,,,,,
T,Rule,0,,,,,,
T,Rule-gated,0,,,,,,
T,Hybrid,1,100.0,0.67,-0.01,-0.01,1.0,-2.45
T,RL-only,0,,,,,,
PYPL,Rule,0,,,,,,
PYPL,Rule-gated,0,,,,,,
PYPL,Hybrid,0,,,,,,
PYPL,RL-only,0,,,,,,
