ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,timesteps
AAPL,2022-01-27,Hybrid,BUY,1,155.8,166.67,6.9778,100000
AAPL,2022-01-27,Hybrid,BUY,2,155.8,171.03,9.7727,100000
AAPL,2022-01-27,Hybrid,BUY,3,155.8,170.86,9.6659,100000
AAPL,2022-01-27,Hybrid,BUY,5,155.8,169.19,8.5919,100000
AAPL,2022-01-27,Hybrid,BUY,10,155.8,168.64,8.2398,100000
AAPL,2022-01-27,Hybrid,BUY,21,155.8,161.78,3.8377,100000
AAPL,2022-01-27,RL,BUY,1,155.8,166.67,6.9778,100000
AAPL,2022-01-27,RL,BUY,2,155.8,171.03,9.7727,100000
AAPL,2022-01-27,RL,BUY,3,155.8,170.86,9.6659,100000
AAPL,2022-01-27,RL,BUY,5,155.8,169.19,8.5919,100000
AAPL,2022-01-27,RL,BUY,10,155.8,168.64,8.2398,100000
AAPL,2022-01-27,RL,BUY,21,155.8,161.78,3.8377,100000
AAPL,2022-01-28,Hybrid,BUY,1,166.67,171.03,2.6126,100000
AAPL,2022-01-28,Hybrid,BUY,2,166.67,170.86,2.5128,100000
AAPL,2022-01-28,Hybrid,BUY,3,166.67,172.07,3.2349,100000
AAPL,2022-01-28,Hybrid,BUY,5,166.67,168.91,1.3384,100000
AAPL,2022-01-28,Hybrid,BUY,10,166.67,165.23,-0.866,100000
AAPL,2022-01-28,Hybrid,BUY,21,166.67,159.9,-4.0639,100000
AAPL,2022-01-28,RL,BUY,1,166.67,171.03,2.6126,100000
AAPL,2022-01-28,RL,BUY,2,166.67,170.86,2.5128,100000
AAPL,2022-01-28,RL,BUY,3,166.67,172.07,3.2349,100000
AAPL,2022-01-28,RL,BUY,5,166.67,168.91,1.3384,100000
AAPL,2022-01-28,RL,BUY,10,166.67,165.23,-0.866,100000
AAPL,2022-01-28,RL,BUY,21,166.67,159.9,-4.0639,100000
AAPL,2022-01-31,Rule,SELL,1,171.03,170.86,0.0972,100000
AAPL,2022-01-31,Rule,SELL,2,171.03,172.07,-0.6065,100000
AAPL,2022-01-31,Rule,SELL,3,171.03,169.19,1.0756,100000
AAPL,2022-01-31,Rule,SELL,5,171.03,168.19,1.66,100000
AAPL,2022-01-31,Rule,SELL,10,171.03,165.47,3.2525,100000
AAPL,2022-01-31,Rule,SELL,21,171.03,163.19,4.5816,100000
AAPL,2022-01-31,Hybrid,SELL,1,171.03,170.86,0.0972,100000
AAPL,2022-01-31,Hybrid,SELL,2,171.03,172.07,-0.6065,100000
AAPL,2022-01-31,Hybrid,SELL,3,171.03,169.19,1.0756,100000
AAPL,2022-01-31,Hybrid,SELL,5,171.03,168.19,1.66,100000
AAPL,2022-01-31,Hybrid,SELL,10,171.03,165.47,3.2525,100000
AAPL,2022-01-31,Hybrid,SELL,21,171.03,163.19,4.5816,100000
AAPL,2022-01-31,RL,SELL,1,171.03,170.86,0.0972,100000
AAPL,2022-01-31,RL,SELL,2,171.03,172.07,-0.6065,100000
AAPL,2022-01-31,RL,SELL,3,171.03,169.19,1.0756,100000
AAPL,2022-01-31,RL,SELL,5,171.03,168.19,1.66,100000
AAPL,2022-01-31,RL,SELL,10,171.03,165.47,3.2525,100000
AAPL,2022-01-31,RL,SELL,21,171.03,163.19,4.5816,100000
AAPL,2022-02-01,Hybrid,SELL,1,170.86,172.07,-0.7044,100000
AAPL,2022-02-01,Hybrid,SELL,2,170.86,169.19,0.9793,100000
AAPL,2022-02-01,Hybrid,SELL,3,170.86,168.91,1.1456,100000
AAPL,2022-02-01,Hybrid,SELL,5,170.86,171.3,-0.2536,100000
AAPL,2022-02-01,Hybrid,SELL,10,170.86,169.3,0.9163,100000
AAPL,2022-02-01,Hybrid,SELL,21,170.86,162.87,4.678,100000
AAPL,2022-02-01,RL,SELL,1,170.86,172.07,-0.7044,100000
AAPL,2022-02-01,RL,SELL,2,170.86,169.19,0.9793,100000
AAPL,2022-02-01,RL,SELL,3,170.86,168.91,1.1456,100000
AAPL,2022-02-01,RL,SELL,5,170.86,171.3,-0.2536,100000
AAPL,2022-02-01,RL,SELL,10,170.86,169.3,0.9163,100000
AAPL,2022-02-01,RL,SELL,21,170.86,162.87,4.678,100000
AAPL,2022-02-02,Hybrid,SELL,1,172.07,169.19,1.672,100000
AAPL,2022-02-02,Hybrid,SELL,2,172.07,168.91,1.8371,100000
AAPL,2022-02-02,Hybrid,SELL,3,172.07,168.19,2.2528,100000
AAPL,2022-02-02,Hybrid,SELL,5,172.07,172.72,-0.378,100000
AAPL,2022-02-02,Hybrid,SELL,10,172.07,169.06,1.746,100000
AAPL,2022-02-02,Hybrid,SELL,21,172.07,159.87,7.0872,100000
AAPL,2022-02-02,RL,SELL,1,172.07,169.19,1.672,100000
AAPL,2022-02-02,RL,SELL,2,172.07,168.91,1.8371,100000
AAPL,2022-02-02,RL,SELL,3,172.07,168.19,2.2528,100000
AAPL,2022-02-02,RL,SELL,5,172.07,172.72,-0.378,100000
AAPL,2022-02-02,RL,SELL,10,172.07,169.06,1.746,100000
AAPL,2022-02-02,RL,SELL,21,172.07,159.87,7.0872,100000
AAPL,2022-02-03,Hybrid,SELL,1,169.19,168.91,0.1679,100000
AAPL,2022-02-03,Hybrid,SELL,2,169.19,168.19,0.5907,100000
AAPL,2022-02-03,Hybrid,SELL,3,169.19,171.3,-1.2451,100000
AAPL,2022-02-03,Hybrid,SELL,5,169.19,168.64,0.3243,100000
AAPL,2022-02-03,Hybrid,SELL,10,169.19,165.47,2.2006,100000
AAPL,2022-02-03,Hybrid,SELL,21,169.19,156.08,7.7484,100000
AAPL,2022-02-03,RL,SELL,1,169.19,168.91,0.1679,100000
AAPL,2022-02-03,RL,SELL,2,169.19,168.19,0.5907,100000
AAPL,2022-02-03,RL,SELL,3,169.19,171.3,-1.2451,100000
AAPL,2022-02-03,RL,SELL,5,169.19,168.64,0.3243,100000
AAPL,2022-02-03,RL,SELL,10,169.19,165.47,2.2006,100000
AAPL,2022-02-03,RL,SELL,21,169.19,156.08,7.7484,100000
AAPL,2022-02-04,Hybrid,SELL,1,168.91,168.19,0.4235,100000
AAPL,2022-02-04,Hybrid,SELL,2,168.91,171.3,-1.4154,100000
AAPL,2022-02-04,Hybrid,SELL,3,168.91,172.72,-2.2565,100000
AAPL,2022-02-04,Hybrid,SELL,5,168.91,165.23,2.1753,100000
AAPL,2022-02-04,Hybrid,SELL,10,168.91,163.92,2.9526,100000
AAPL,2022-02-04,Hybrid,SELL,21,168.91,154.26,8.6722,100000
AAPL,2022-02-04,RL,SELL,1,168.91,168.19,0.4235,100000
AAPL,2022-02-04,RL,SELL,2,168.91,171.3,-1.4154,100000
AAPL,2022-02-04,RL,SELL,3,168.91,172.72,-2.2565,100000
AAPL,2022-02-04,RL,SELL,5,168.91,165.23,2.1753,100000
AAPL,2022-02-04,RL,SELL,10,168.91,163.92,2.9526,100000
AAPL,2022-02-04,RL,SELL,21,168.91,154.26,8.6722,100000
AAPL,2022-02-07,Hybrid,BUY,1,168.19,171.3,1.8467,100000
AAPL,2022-02-07,Hybrid,BUY,2,168.19,172.72,2.6914,100000
AAPL,2022-02-07,Hybrid,BUY,3,168.19,168.64,0.268,100000
