ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,bucket,in_sample
AAPL,2025-04-15,Hybrid,BUY,1,201.26,193.43,-3.8933,rl_override,False
AAPL,2025-04-15,Hybrid,BUY,2,201.26,196.13,-2.5527,rl_override,False
AAPL,2025-04-15,Hybrid,BUY,3,201.26,192.32,-4.4425,rl_override,False
AAPL,2025-04-15,Hybrid,BUY,5,201.26,203.71,1.217,rl_override,False
AAPL,2025-04-15,Hybrid,BUY,10,201.26,211.58,5.1252,rl_override,False
AAPL,2025-04-15,Hybrid,BUY,21,201.26,210.81,4.7429,rl_override,False
AAPL,2025-04-15,RL-only,BUY,1,201.26,193.43,-3.8933,,False
AAPL,2025-04-15,RL-only,BUY,2,201.26,196.13,-2.5527,,False
AAPL,2025-04-15,RL-only,BUY,3,201.26,192.32,-4.4425,,False
AAPL,2025-04-15,RL-only,BUY,5,201.26,203.71,1.217,,False
AAPL,2025-04-15,RL-only,BUY,10,201.26,211.58,5.1252,,False
AAPL,2025-04-15,RL-only,BUY,21,201.26,210.81,4.7429,,False
AAPL,2025-04-16,Hybrid,BUY,1,193.43,196.13,1.395,rl_override,False
AAPL,2025-04-16,Hybrid,BUY,2,193.43,192.32,-0.5714,rl_override,False
AAPL,2025-04-16,Hybrid,BUY,3,193.43,198.87,2.8157,rl_override,False
AAPL,2025-04-16,Hybrid,BUY,5,193.43,207.47,7.2579,rl_override,False
AAPL,2025-04-16,Hybrid,BUY,10,193.43,212.39,9.8059,rl_override,False
AAPL,2025-04-16,Hybrid,BUY,21,193.43,210.62,8.8882,rl_override,False
AAPL,2025-04-16,RL-only,BUY,1,193.43,196.13,1.395,,False
AAPL,2025-04-16,RL-only,BUY,2,193.43,192.32,-0.5714,,False
AAPL,2025-04-16,RL-only,BUY,3,193.43,198.87,2.8157,,False
AAPL,2025-04-16,RL-only,BUY,5,193.43,207.47,7.2579,,False
AAPL,2025-04-16,RL-only,BUY,10,193.43,212.39,9.8059,,False
AAPL,2025-04-16,RL-only,BUY,21,193.43,210.62,8.8882,,False
AAPL,2025-04-17,Hybrid,BUY,1,196.13,192.32,-1.9393,rl_override,False
AAPL,2025-04-17,Hybrid,BUY,2,196.13,198.87,1.4012,rl_override,False
AAPL,2025-04-17,Hybrid,BUY,3,196.13,203.71,3.8684,rl_override,False
AAPL,2025-04-17,Hybrid,BUY,5,196.13,208.37,6.2443,rl_override,False
AAPL,2025-04-17,Hybrid,BUY,10,196.13,204.46,4.2492,rl_override,False
AAPL,2025-04-17,Hybrid,BUY,21,196.13,208.15,6.1294,rl_override,False
AAPL,2025-04-17,RL-only,BUY,1,196.13,192.32,-1.9393,,False
AAPL,2025-04-17,RL-only,BUY,2,196.13,198.87,1.4012,,False
AAPL,2025-04-17,RL-only,BUY,3,196.13,203.71,3.8684,,False
AAPL,2025-04-17,RL-only,BUY,5,196.13,208.37,6.2443,,False
AAPL,2025-04-17,RL-only,BUY,10,196.13,204.46,4.2492,,False
AAPL,2025-04-17,RL-only,BUY,21,196.13,208.15,6.1294,,False
AAPL,2025-05-08,Hybrid,SELL,1,196.63,197.67,-0.5266,rl_override,False
AAPL,2025-05-08,Hybrid,SELL,2,196.63,210.15,-6.8745,rl_override,False
AAPL,2025-05-08,Hybrid,SELL,3,196.63,212.28,-7.9595,rl_override,False
AAPL,2025-05-08,Hybrid,SELL,5,196.63,210.81,-7.2091,rl_override,False
AAPL,2025-05-08,Hybrid,SELL,10,196.63,200.75,-2.0933,rl_override,False
AAPL,2025-05-08,Hybrid,SELL,21,196.63,200.84,-2.1389,rl_override,False
AAPL,2025-05-08,RL-only,SELL,1,196.63,197.67,-0.5266,,False
AAPL,2025-05-08,RL-only,SELL,2,196.63,210.15,-6.8745,,False
AAPL,2025-05-08,RL-only,SELL,3,196.63,212.28,-7.9595,,False
AAPL,2025-05-08,RL-only,SELL,5,196.63,210.81,-7.2091,,False
AAPL,2025-05-08,RL-only,SELL,10,196.63,200.75,-2.0933,,False
AAPL,2025-05-08,RL-only,SELL,21,196.63,200.84,-2.1389,,False
AAPL,2025-05-09,Hybrid,SELL,1,197.67,210.15,-6.3146,rl_override,False
AAPL,2025-05-09,Hybrid,SELL,2,197.67,212.28,-7.3939,rl_override,False
AAPL,2025-05-09,Hybrid,SELL,3,197.67,211.69,-7.0913,rl_override,False
AAPL,2025-05-09,Hybrid,SELL,5,197.67,210.62,-6.5517,rl_override,False
AAPL,2025-05-09,Hybrid,SELL,10,197.67,194.68,1.5131,rl_override,False
AAPL,2025-05-09,Hybrid,SELL,21,197.67,202.06,-2.2192,rl_override,False
AAPL,2025-05-09,RL-only,SELL,1,197.67,210.15,-6.3146,,False
AAPL,2025-05-09,RL-only,SELL,2,197.67,212.28,-7.3939,,False
AAPL,2025-05-09,RL-only,SELL,3,197.67,211.69,-7.0913,,False
AAPL,2025-05-09,RL-only,SELL,5,197.67,210.62,-6.5517,,False
AAPL,2025-05-09,RL-only,SELL,10,197.67,194.68,1.5131,,False
AAPL,2025-05-09,RL-only,SELL,21,197.67,202.06,-2.2192,,False
AAPL,2025-05-12,Hybrid,SELL,1,210.15,212.28,-1.0152,rl_override,False
AAPL,2025-05-12,Hybrid,SELL,2,210.15,211.69,-0.7306,rl_override,False
AAPL,2025-05-12,Hybrid,SELL,3,210.15,210.81,-0.3131,rl_override,False
AAPL,2025-05-12,Hybrid,SELL,5,210.15,208.15,0.9536,rl_override,False
AAPL,2025-05-12,Hybrid,SELL,10,210.15,199.6,5.0192,rl_override,False
AAPL,2025-05-12,Hybrid,SELL,21,210.15,198.18,5.6976,rl_override,False
AAPL,2025-05-12,RL-only,SELL,1,210.15,212.28,-1.0152,,False
AAPL,2025-05-12,RL-only,SELL,2,210.15,211.69,-0.7306,,False
AAPL,2025-05-12,RL-only,SELL,3,210.15,210.81,-0.3131,,False
AAPL,2025-05-12,RL-only,SELL,5,210.15,208.15,0.9536,,False
AAPL,2025-05-12,RL-only,SELL,10,210.15,199.6,5.0192,,False
AAPL,2025-05-12,RL-only,SELL,21,210.15,198.18,5.6976,,False
AAPL,2025-05-13,Hybrid,SELL,1,212.28,211.69,0.2818,rl_override,False
AAPL,2025-05-13,Hybrid,SELL,2,212.28,210.81,0.6951,rl_override,False
AAPL,2025-05-13,Hybrid,SELL,3,212.28,210.62,0.7843,rl_override,False
AAPL,2025-05-13,Hybrid,SELL,5,212.28,206.23,2.8507,rl_override,False
AAPL,2025-05-13,Hybrid,SELL,10,212.28,199.81,5.8752,rl_override,False
AAPL,2025-05-13,Hybrid,SELL,21,212.28,198.6,6.4481,rl_override,False
AAPL,2025-05-13,RL-only,SELL,1,212.28,211.69,0.2818,,False
AAPL,2025-05-13,RL-only,SELL,2,212.28,210.81,0.6951,,False
AAPL,2025-05-13,RL-only,SELL,3,212.28,210.62,0.7843,,False
AAPL,2025-05-13,RL-only,SELL,5,212.28,206.23,2.8507,,False
AAPL,2025-05-13,RL-only,SELL,10,212.28,199.81,5.8752,,False
AAPL,2025-05-13,RL-only,SELL,21,212.28,198.6,6.4481,,False
AAPL,2025-05-14,Hybrid,SELL,1,211.69,210.81,0.4145,rl_override,False
AAPL,2025-05-14,Hybrid,SELL,2,211.69,210.62,0.5039,rl_override,False
AAPL,2025-05-14,Hybrid,SELL,3,211.69,208.15,1.6719,rl_override,False
AAPL,2025-05-14,Hybrid,SELL,5,211.69,201.48,4.8227,rl_override,False
AAPL,2025-05-14,Hybrid,SELL,10,211.69,199.34,5.8305,rl_override,False
AAPL,2025-05-14,Hybrid,SELL,21,211.69,195.85,7.4789,rl_override,False
AAPL,2025-05-14,RL-only,SELL,1,211.69,210.81,0.4145,,False
